customerid,firstname,lastname,orderid,quantity,title,price,categoryname
789,JCOHZU,DOHZBYXSWC,1,1,ACADEMY TROJAN,14.99,New
789,JCOHZU,DOHZBYXSWC,1,3,ACADEMY FRENCH,25.99,Games
789,JCOHZU,DOHZBYXSWC,1,2,ACADEMY ELF,11.99,Children
789,JCOHZU,DOHZBYXSWC,1,2,ACADEMY JAWS,9.99,New
789,JCOHZU,DOHZBYXSWC,1,2,ACADEMY GOLD,25.99,Animation
789,JCOHZU,DOHZBYXSWC,1,3,ACADEMY WAIT,26.99,Animation
789,JCOHZU,DOHZBYXSWC,1,3,ACADEMY OLEANDER,26.99,Sci-Fi
789,JCOHZU,DOHZBYXSWC,1,2,ACADEMY CHICKEN,18.99,Action
486,TDTQJW,TFOVQASIHE,2,2,ACADEMY CLOCKWORK,11.99,Family
486,TDTQJW,TFOVQASIHE,2,1,ACADEMY CELEBRITY,19.99,Comedy
486,TDTQJW,TFOVQASIHE,2,1,ACADEMY ZOOLANDER,11.99,Family
486,TDTQJW,TFOVQASIHE,2,3,ACADEMY LEATHERNECKS,24.99,New
486,TDTQJW,TFOVQASIHE,2,1,ACADEMY MYSTIC,15.99,Music
486,TDTQJW,TFOVQASIHE,2,2,ACADEMY OPERATION,19.99,Drama
486,TDTQJW,TFOVQASIHE,2,3,ACADEMY KARATE,12.99,New
486,TDTQJW,TFOVQASIHE,2,3,ACADEMY EXORCIST,26.99,Sports
1540,QVIZQN,QHQXFBPRII,3,2,ACADEMY ENEMY,14.99,Documentary
1540,QVIZQN,QHQXFBPRII,3,3,ACADEMY SLING,12.99,Classics
1540,QVIZQN,QHQXFBPRII,3,3,ACADEMY BIKINI,11.99,Classics
1540,QVIZQN,QHQXFBPRII,3,1,ACADEMY LOCK,15.99,Foreign
1540,QVIZQN,QHQXFBPRII,3,2,ACADEMY CROSSROADS,27.99,Games
1540,QVIZQN,QHQXFBPRII,3,2,ACADEMY TIMBERLAND,24.99,Action
1540,QVIZQN,QHQXFBPRII,3,1,ACADEMY BEHAVIOR,10.99,Classics
1540,QVIZQN,QHQXFBPRII,3,1,ACADEMY INDIAN,10.99,Sci-Fi
1540,QVIZQN,QHQXFBPRII,3,3,ACADEMY DOGMA,20.99,Foreign
1702,PSDQZD,KSUBKAFFGL,4,3,ACADEMY GRAPES,24.99,Sports
1702,PSDQZD,KSUBKAFFGL,4,3,ACADEMY LEATHERNECKS,24.99,New
1702,PSDQZD,KSUBKAFFGL,4,1,ACADEMY LOSER,15.99,Family
1702,PSDQZD,KSUBKAFFGL,4,3,ACADEMY HUMAN,25.99,Action
1702,PSDQZD,KSUBKAFFGL,4,3,ACADEMY VALENTINE,14.99,Music
1478,GAWNYW,JVLYEEUFEF,5,1,ACADEMY POLISH,18.99,Documentary
1478,GAWNYW,JVLYEEUFEF,5,3,ACADEMY HUNTER,19.99,Action
1478,GAWNYW,JVLYEEUFEF,5,1,ACADEMY SPIRIT,22.99,New
1478,GAWNYW,JVLYEEUFEF,5,3,ACADEMY DEVIL,20.99,Music
1374,AULLNJ,KQQHJHWEVT,6,3,ACADEMY PARIS,9.99,Games
1374,AULLNJ,KQQHJHWEVT,6,3,ACADEMY HUNGER,20.99,Sports
1374,AULLNJ,KQQHJHWEVT,6,3,ACADEMY HAPPINESS,23.99,Classics
1374,AULLNJ,KQQHJHWEVT,6,3,ACADEMY PLATOON,29.99,Classics
1374,AULLNJ,KQQHJHWEVT,6,1,ACADEMY JERICHO,19.99,Comedy
1374,AULLNJ,KQQHJHWEVT,6,3,ACADEMY VOYAGE,28.99,Travel
1763,KKFVVO,NXUZKBFDKK,7,1,ACADEMY NEMO,23.99,Horror
1763,KKFVVO,NXUZKBFDKK,7,1,ACADEMY SHINING,9.99,Music
1763,KKFVVO,NXUZKBFDKK,7,1,ACADEMY IDAHO,11.99,Foreign
1763,KKFVVO,NXUZKBFDKK,7,1,ACADEMY CRAZY,20.99,Horror
834,WOPQZW,XSLUZYXCQR,8,1,ACADEMY BUGSY,21.99,Horror
834,WOPQZW,XSLUZYXCQR,8,3,ACADEMY KICK,13.99,Family
834,WOPQZW,XSLUZYXCQR,8,3,ACADEMY WONDERLAND,26.99,Animation
834,WOPQZW,XSLUZYXCQR,8,2,ACADEMY PLATOON,29.99,Classics
834,WOPQZW,XSLUZYXCQR,8,2,ACADEMY RUN,10.99,Horror
834,WOPQZW,XSLUZYXCQR,8,1,ACADEMY EXPENDABLE,26.99,New
834,WOPQZW,XSLUZYXCQR,8,1,ACADEMY MOB,20.99,Music
834,WOPQZW,XSLUZYXCQR,8,3,ACADEMY CITIZEN,15.99,New
834,WOPQZW,XSLUZYXCQR,8,3,ACADEMY CASUALTIES,21.99,Action
1491,IJPXLG,YOJCILNPJF,9,2,ACADEMY BANG,23.99,Family
1491,IJPXLG,YOJCILNPJF,9,1,ACADEMY CONNECTICUT,18.99,New
1491,IJPXLG,YOJCILNPJF,9,3,ACADEMY SILVERADO,12.99,Classics
1491,IJPXLG,YOJCILNPJF,9,3,ACADEMY PARADISE,19.99,Games
1491,IJPXLG,YOJCILNPJF,9,3,ACADEMY OPUS,11.99,Horror
1491,IJPXLG,YOJCILNPJF,9,1,ACADEMY BRAVEHEART,17.99,Children
1491,IJPXLG,YOJCILNPJF,9,1,ACADEMY LIES,13.99,Games
1491,IJPXLG,YOJCILNPJF,9,1,ACADEMY BIKINI,11.99,Classics
1491,IJPXLG,YOJCILNPJF,9,3,ACADEMY INSIDER,29.99,Horror
1512,PVVPRN,BBBCVNVTRY,10,1,ACADEMY ZORRO,13.99,Travel
1512,PVVPRN,BBBCVNVTRY,10,1,ACADEMY TIGHTS,23.99,Music
109,MYEOUF,IBGSTNWYYM,11,3,ACADEMY AFRICAN,11.99,Children
361,ZCXZNQ,NMSRSELPXH,12,3,ACADEMY TROUBLE,13.99,Drama
361,ZCXZNQ,NMSRSELPXH,12,2,ACADEMY GLASS,19.99,Children
361,ZCXZNQ,NMSRSELPXH,12,2,ACADEMY MINE,19.99,Drama
361,ZCXZNQ,NMSRSELPXH,12,1,ACADEMY POLISH,18.99,Documentary
1515,UPYFNO,CBJFBBOURB,13,3,ACADEMY MILE,17.99,Sports
1515,UPYFNO,CBJFBBOURB,13,2,ACADEMY RUGRATS,17.99,Documentary
1515,UPYFNO,CBJFBBOURB,13,3,ACADEMY ARGONAUTS,13.99,Horror
1515,UPYFNO,CBJFBBOURB,13,3,ACADEMY SPOILERS,9.99,Animation
1515,UPYFNO,CBJFBBOURB,13,3,ACADEMY TADPOLE,17.99,Documentary
1515,UPYFNO,CBJFBBOURB,13,3,ACADEMY WIZARD,13.99,Family
1515,UPYFNO,CBJFBBOURB,13,3,ACADEMY TRAIN,28.99,Travel
1515,UPYFNO,CBJFBBOURB,13,2,ACADEMY PEACH,28.99,Drama
1515,UPYFNO,CBJFBBOURB,13,3,ACADEMY COAST,25.99,Children
154,XHBKRS,CQEJVSXIGR,14,1,ACADEMY NOTTING,12.99,Sports
154,XHBKRS,CQEJVSXIGR,14,1,ACADEMY PSYCHO,25.99,Children
154,XHBKRS,CQEJVSXIGR,14,1,ACADEMY FORREST,24.99,Children
1267,YRXRCQ,GJXQTEAYIS,15,3,ACADEMY LAWRENCE,17.99,Travel
1267,YRXRCQ,GJXQTEAYIS,15,2,ACADEMY ENCINO,12.99,Classics
1267,YRXRCQ,GJXQTEAYIS,15,1,ACADEMY REDEMPTION,26.99,Sports
1267,YRXRCQ,GJXQTEAYIS,15,2,ACADEMY ITALIAN,9.99,Action
1267,YRXRCQ,GJXQTEAYIS,15,2,ACADEMY VIRGINIAN,9.99,Foreign
1267,YRXRCQ,GJXQTEAYIS,15,3,ACADEMY FRIDA,27.99,Classics
7,WVZTXZ,RMEVXCQGQF,16,1,ACADEMY SPOILERS,9.99,Animation
7,WVZTXZ,RMEVXCQGQF,16,2,ACADEMY PHILADELPHIA,18.99,Drama
7,WVZTXZ,RMEVXCQGQF,16,1,ACADEMY JEOPARDY,12.99,Sports
7,WVZTXZ,RMEVXCQGQF,16,1,ACADEMY RAINBOW,29.99,Documentary
7,WVZTXZ,RMEVXCQGQF,16,1,ACADEMY NEWSIES,9.99,Horror
7,WVZTXZ,RMEVXCQGQF,16,3,ACADEMY HELLFIGHTERS,23.99,New
1276,TIVHFP,FUIHARYCKZ,17,2,ACADEMY MUSIC,23.99,Music
1276,TIVHFP,FUIHARYCKZ,17,1,ACADEMY RIGHT,22.99,Games
405,YTUQHI,VLSWODMHSL,18,1,ACADEMY PANKY,12.99,Action
